domain,support,avg_code,avg_text,tot,avg_tot
R,131,825.0305343511451,1262.87786259542,273516.0,2087.908396946565
Java,752,274.18882978723406,472.530585106383,561533.0,746.7194148936171
C,1228,268.7247557003257,470.3265472312704,907555.0,739.0513029315962
Missing,442,286.26018099547514,402.5542986425339,304456.0,688.8144796380091
Vim Script,144,111.75,159.53472222222223,39065.0,271.28472222222223
Dart,50,93.2,160.5,12685.0,253.7
Swift,300,90.59,142.42,69903.0,233.01
Haskell,50,87.24,135.32,11128.0,222.56
Lua,189,75.46031746031746,135.43915343915344,39860.0,210.89947089947088
Rust,199,79.25125628140704,123.78391959798996,40404.0,203.035175879397
Cuda,97,73.3298969072165,118.7319587628866,18630.0,192.0618556701031
Objective-C,507,69.59763313609467,118.51479289940828,95373.0,188.11242603550295
CSS,1824,64.68914473684211,119.18201754385964,335381.0,183.87116228070175
Handlebars,115,67.13913043478261,115.31304347826088,20982.0,182.4521739130435
C++,771,66.66407263294423,113.01945525291828,138536.0,179.6835278858625
Clojure,60,62.2,117.16666666666669,10762.0,179.36666666666667
Ruby,915,70.97158469945356,108.26120218579236,163998.0,179.2327868852459
Shell,2957,66.57253973621914,112.32160973960094,528990.0,178.8941494758201
Dockerfile,1228,66.52931596091206,110.18648208469055,217007.0,176.7157980456026
SCSS,437,59.42562929061785,116.79633867276888,77009.0,176.22196796338673
Scala,99,64.64646464646465,110.6060606060606,17350.0,175.25252525252523
Perl,232,64.75,109.76293103448276,40487.0,174.51293103448276
Groovy,107,59.2803738317757,110.38317757009344,18154.0,169.66355140186914
Kotlin,179,65.43575418994413,100.25698324022346,29659.0,165.6927374301676
Emacs Lisp,94,61.04255319148936,103.1808510638298,15437.0,164.22340425531917
MDX,85,56.4,106.55294117647058,13851.0,162.95294117647057
JavaScript,2807,59.02743142144639,102.43427146419666,453223.0,161.46170288564304
Makefile,1430,61.10979020979021,99.58111888111888,229788.0,160.6909090909091
Python,2428,58.6832784184514,101.07742998352552,387899.0,159.76070840197693
TypeScript,813,56.17835178351783,103.1980319803198,129573.0,159.37638376383762
HTML,2457,57.42653642653643,100.25559625559626,387425.0,157.6821326821327
Go,519,59.97880539499037,95.65703275529866,80775.0,155.63583815028903
Cython,82,56.09756097560975,99.51219512195122,12760.0,155.609756097561
CMake,410,59.9780487804878,95.34634146341465,63683.0,155.32439024390246
Mustache,85,58.71764705882353,95.67058823529412,13123.0,154.38823529411764
HCL,81,52.51851851851852,100.65432098765432,12407.0,153.17283950617283
Batchfile,608,57.01480263157895,95.79605263157896,92909.0,152.81085526315792
Jinja,75,57.14666666666667,92.62666666666668,11233.0,149.77333333333334
Nix,72,56.43055555555556,93.31944444444444,10782.0,149.75
GLSL,90,43.888888888888886,104.53333333333332,13358.0,148.42222222222222
Vue,158,37.39873417721519,108.4367088607595,23042.0,145.8354430379747
Gherkin,65,58.56923076923077,86.4,9423.0,144.96923076923076
CoffeeScript,146,50.78767123287671,90.7054794520548,20658.0,141.49315068493152
Less,176,36.03977272727273,104.6534090909091,24762.0,140.6931818181818
PLpgSQL,70,56.31428571428572,83.9,9815.0,140.21428571428572
Procfile,74,56.0945945945946,83.36486486486487,10320.0,139.45945945945948
TeX,140,46.62857142857143,92.67857142857144,19503.0,139.30714285714288
Assembly,175,50.85714285714285,88.0,24300.0,138.85714285714283
PHP,424,50.81132075471698,87.90801886792453,58817.0,138.7193396226415
PowerShell,302,51.44039735099338,83.14238410596026,40644.0,134.58278145695363
Starlark,122,54.377049180327866,76.18852459016394,15929.0,130.5655737704918
EJS,60,47.31666666666667,80.26666666666667,7655.0,127.58333333333334
Roff,191,50.42408376963351,77.01047120418848,24340.0,127.43455497382199
MATLAB,75,50.85333333333333,71.84,9202.0,122.69333333333333
Rich Text Format,57,49.07017543859649,72.64912280701755,6938.0,121.71929824561404
Objective-C++,149,44.86577181208054,75.81208053691275,17981.0,120.67785234899328
Blade,55,43.14545454545455,75.87272727272727,6546.0,119.01818181818183
M4,102,44.90196078431372,68.38235294117646,11555.0,113.2843137254902
Smarty,152,43.56578947368421,68.05263157894737,16966.0,111.61842105263159
Yacc,72,39.513888888888886,65.94444444444444,7593.0,105.45833333333333
XSLT,83,39.036144578313255,58.80722891566265,8121.0,97.8433734939759
NSIS,50,32.9,61.66,4728.0,94.56
Jupyter Notebook,826,26.75423728813559,46.43462469733656,60454.0,73.18886198547216
